TZSAZON_ID,HATKEZD,HATVEGE,NEV,PIR,PIRTIP
12483,2013-07-01,3999-12-31,DARABOSHEGY KÖZSÉGI ÖNKORMÁNYZAT,424053,1
12483,2013-07-01,3999-12-31,HALOGY KÖZSÉGI ÖNKORMÁNYZAT,424064,1
12483,2013-07-01,3999-12-31,TORMÁSLIGET KÖZSÉG ÖNKORMÁNYZATA,573403,1
12483,2013-07-01,3999-12-31,LÓCS KÖZSÉGI ÖNKORMÁNYZAT,424460,1
12483,2013-07-01,3999-12-31,IKLANBERÉNY KÖZSÉGI ÖNKORMÁNYZAT,424459,1
12484,2013-07-01,3999-12-31,ÓPÁLYI KÖZSÉG ÖNKORMÁNYZATA,402844,1
12484,2013-07-01,3999-12-31,ŐR KÖZSÉG ÖNKORMÁNYZATA,735100,1
12484,2013-07-01,3999-12-31,ÖKÖRITÓFÜLPÖS NAGYKÖZSÉG ÖNKORMÁNYZATA,405010,1
12484,2013-07-01,3999-12-31,SZAMOSSZEG KÖZSÉG ÖNKORMÁNYZATA,405043,1
12484,2013-07-01,3999-12-31,FÜLPÖSDARÓC KÖZSÉG ÖNKORMÁNYZATA,443030,1
12484,2013-07-01,3999-12-31,GÉBERJÉN KÖZSÉG ÖNKORMÁNYZATA,443041,1
12484,2013-07-01,3999-12-31,KÁNTORJÁNOSI KÖZSÉG ÖNKORMÁNYZATA,443063,1
12484,2013-07-01,3999-12-31,NYÍRPARASZNYA KÖZSÉG ÖNKORMÁNYZATA,443085,1
12484,2013-07-01,3999-12-31,PAPOS KÖZSÉG ÖNKORMÁNYZATA,443106,1
12484,2013-07-01,3999-12-31,RÁPOLT KÖZSÉG ÖNKORMÁNYZATA,443128,1
12484,2013-07-01,3999-12-31,SZAMOSKÉR KÖZSÉG ÖNKORMÁNYZATA,443162,1
12484,2013-07-01,3999-12-31,MÁTÉSZALKA VÁROS ÖNKORMÁNYZATA,731805,1
12484,2013-07-01,3999-12-31,KOCSORD KÖZSÉG ÖNKORMÁNYZATA,731816,1
12484,2013-07-01,3999-12-31,NYÍRCSAHOLY KÖZSÉG ÖNKORMÁNYZATA,731827,1
12484,2013-07-01,3999-12-31,HODÁSZ NAGYKÖZSÉGI ÖNKORMÁNYZAT,732505,1
