TZSAZON_ID,PIR,STATUSZ,VIZSGDATUM,VIZSGDATUMTOL,XMLDATUM
10343,791452,H,2013-11-15,2013-11-15,2013-11-15
10344,791506,H,2013-11-15,2013-11-15,2013-11-15
10345,791517,H,2013-11-15,2013-11-15,2013-11-15
10346,791539,H,2013-11-15,2013-11-15,2013-11-15
10347,791540,H,2013-11-15,2013-11-15,2013-11-15
10348,791573,H,2013-11-15,2013-11-15,2013-11-15
10349,791616,H,2013-11-15,2013-11-15,2013-11-15
1035,367879,H,2013-11-15,2013-11-15,2013-11-15
10350,791649,H,2013-11-15,2013-11-15,2013-11-15
10351,791661,H,2013-11-15,2013-11-15,2013-11-15
10352,791672,H,2013-11-15,2013-11-15,2013-11-15
10353,791683,H,2013-11-15,2013-11-15,2013-11-15
10354,791694,H,2013-11-15,2013-11-15,2013-11-15
10355,791704,H,2013-11-15,2013-11-15,2013-11-15
10356,791715,H,2013-11-15,2013-11-15,2013-11-15
10357,791737,H,2013-11-15,2013-11-15,2013-11-15
10358,791748,H,2013-11-15,2013-11-15,2013-11-15
10359,791759,H,2013-11-15,2013-11-15,2013-11-15
1036,368139,H,2013-11-15,2013-11-15,2013-11-15
10360,791760,H,2013-11-15,2013-11-15,2013-11-15
10361,791771,H,2013-11-15,2013-11-15,2013-11-15
10362,791793,H,2013-11-15,2013-11-15,2013-11-15
10363,791814,H,2013-11-15,2013-11-15,2013-11-15
10364,791836,H,2013-11-15,2013-11-15,2013-11-15
10365,791847,H,2013-11-15,2013-11-15,2013-11-15
10366,791858,H,2013-11-15,2013-11-15,2013-11-15
10367,791869,H,2013-11-15,2013-11-15,2013-11-15
10368,791870,H,2013-11-15,2013-11-15,2013-11-15
10369,791913,H,2013-11-15,2013-11-15,2013-11-15
1037,368195,H,2013-11-15,2013-11-15,2013-11-15
10370,791935,H,2013-11-15,2013-11-15,2013-11-15
10371,791946,H,2013-11-15,2013-11-15,2013-11-15
10372,791991,H,2013-11-15,2013-11-15,2013-11-15
10373,792019,H,2013-11-15,2013-11-15,2013-11-15
10374,792042,H,2013-11-15,2013-11-15,2013-11-15
10375,792053,H,2013-11-15,2013-11-15,2013-11-15
10376,792064,H,2013-11-15,2013-11-15,2013-11-15
10377,792075,H,2013-11-15,2013-11-15,2013-11-15
10378,792118,H,2013-11-15,2013-11-15,2013-11-15
10379,792129,H,2013-11-15,2013-11-15,2013-11-15
1038,368227,H,2013-11-15,2013-11-15,2013-11-15
10380,792130,H,2013-11-15,2013-11-15,2013-11-15
10381,792174,H,2013-11-15,2013-11-15,2013-11-15
10382,792217,H,2013-11-15,2013-11-15,2013-11-15
10383,792239,H,2013-11-15,2013-11-15,2013-11-15
10384,792295,H,2013-11-15,2013-11-15,2013-11-15
10385,792305,H,2013-11-15,2013-11-15,2013-11-15
10386,792316,H,2013-11-15,2013-11-15,2013-11-15
10387,792327,H,2013-11-15,2013-11-15,2013-11-15
10388,792338,H,2013-11-15,2013-11-15,2013-11-15
10389,792349,H,2013-11-15,2013-11-15,2013-11-15
1039,368249,H,2013-11-15,2013-11-15,2013-11-15
10390,792350,H,2013-11-15,2013-11-15,2013-11-15
10391,792361,H,2013-11-15,2013-11-15,2013-11-15
10392,792372,H,2013-11-15,2013-11-15,2013-11-15
10393,792383,H,2013-11-15,2013-11-15,2013-11-15
10394,792394,H,2013-11-15,2013-11-15,2013-11-15
10395,792404,H,2013-11-15,2013-11-15,2013-11-15
10396,792415,H,2013-11-15,2013-11-15,2013-11-15
10397,792437,H,2013-11-15,2013-11-15,2013-11-15
10398,792448,H,2013-11-15,2013-11-15,2013-11-15
10399,792459,H,2013-11-15,2013-11-15,2013-11-15
104,311487,H,2013-11-15,2013-11-15,2013-11-15
1040,369390,H,2013-11-15,2013-11-15,2013-11-15
10400,792460,H,2013-11-15,2013-11-15,2013-11-15
10401,792471,H,2013-11-15,2013-11-15,2013-11-15
10402,792493,H,2013-11-15,2013-11-15,2013-11-15
10403,792624,H,2013-11-15,2013-11-15,2013-11-15
10404,792635,H,2013-11-15,2013-11-15,2013-11-15
10405,792646,H,2013-11-15,2013-11-15,2013-11-15
10406,792668,H,2013-11-15,2013-11-15,2013-11-15
10407,792691,H,2013-11-15,2013-11-15,2013-11-15
10408,792701,H,2013-11-15,2013-11-15,2013-11-15
10409,792712,H,2013-11-15,2013-11-15,2013-11-15
1041,369554,H,2013-11-15,2013-11-15,2013-11-15
10410,792734,H,2013-11-15,2013-11-15,2013-11-15
10411,792745,H,2013-11-15,2013-11-15,2013-11-15
10412,792756,H,2013-11-15,2013-11-15,2013-11-15
10413,792767,H,2013-11-15,2013-11-15,2013-11-15
10414,792789,H,2013-11-15,2013-11-15,2013-11-15
10415,792811,H,2013-11-15,2013-11-15,2013-11-15
10416,792833,H,2013-11-15,2013-11-15,2013-11-15
10417,792877,H,2013-11-15,2013-11-15,2013-11-15
10418,793027,H,2013-11-15,2013-11-15,2013-11-15
10419,793038,H,2013-11-15,2013-11-15,2013-11-15
1042,369653,H,2013-11-15,2013-11-15,2013-11-15
10420,793083,H,2013-11-15,2013-11-15,2013-11-15
10421,793094,H,2013-11-15,2013-11-15,2013-11-15
